,title,year,amazon_prime_url
0,"The Good, the Bad and the Ugly",1966,https://www.amazon.com/gp/video/detail/B0011XBLUS
1,The Pianist,2002,https://www.amazon.com/gp/video/detail/B084TMR3XK
2,The Avengers,2012,https://www.amazon.com/gp/video/detail/B008NCSZQ8
3,3 Idiots,2009,https://www.amazon.com/gp/video/detail/B07V7T25QS
4,Once Upon a Time in the West,1968,https://www.amazon.com/gp/video/detail/B07YMSH52P
5,It's a Wonderful Life,1946,https://www.amazon.com/gp/video/detail/B07JMZ4HVH
6,Downfall,2004,https://www.amazon.com/gp/video/detail/B07TJ26FVJ
7,Sunset Boulevard,1950,https://www.amazon.com/gp/video/detail/B07VRF8CMZ
8,The Great Escape,1963,https://www.amazon.com/gp/video/detail/B000IZ0WQ4
9,Warrior,2011,https://www.amazon.com/gp/video/detail/B008Y6QZ56
10,Some Like It Hot,1959,https://www.amazon.com/gp/video/detail/B00477MY1K
11,The Handmaiden,2016,https://www.amazon.com/gp/video/detail/B0751JGSCT
12,Rosemary's Baby,1968,https://www.amazon.com/gp/video/detail/B07YVKJ64Q
13,The Kid,1921,https://www.amazon.com/gp/video/detail/B0010WF6K6
14,Amores Perros,2000,https://www.amazon.com/gp/video/detail/B0865HMNHC
15,Roman Holiday,1953,https://www.amazon.com/gp/video/detail/B084NR64RB
16,Short Term 12,2013,https://www.amazon.com/gp/video/detail/B0794S4BCS
17,Dear Zachary: A Letter to a Son About His Father,2008,https://www.amazon.com/gp/video/detail/B00MF5LH46
18,Diabolique,1955,https://www.amazon.com/gp/video/detail/B076HWJZVM
19,The General,1926,https://www.amazon.com/gp/video/detail/B01LAQP4IK
20,A Trip to the Moon,1902,https://www.amazon.com/gp/video/detail/B07DPF8HJV
21,The Cabinet of Dr. Caligari,1920,https://www.amazon.com/gp/video/detail/B004W7C5CI
22,Stop Making Sense,1984,https://www.amazon.com/gp/video/detail/B079Z8W4V5
23,Temple Grandin,2010,https://www.amazon.com/gp/video/detail/B009MEEZXI
24,Stalag 17,1953,https://www.amazon.com/gp/video/detail/B07VBFV8FL
25,The Act of Killing,2012,https://www.amazon.com/gp/video/detail/B07DYJNM8F
26,The Man Who Shot Liberty Valance,1962,https://www.amazon.com/gp/video/detail/B0844H5RXW
27,Paradise Lost: The Child Murders at Robin Hood Hills,1996,https://www.amazon.com/gp/video/detail/B00B15ODQU
28,Chak De! India,2007,https://www.amazon.com/gp/video/detail/B06WWK52PS
29,Tumbbad,2018,https://www.amazon.com/gp/video/detail/B07KPLZB1T
30,3-Iron,2004,https://www.amazon.com/gp/video/detail/B087J1YM4J
31,Queen,2013,https://www.amazon.com/gp/video/detail/B06XZRD7KT
32,Samsara,2011,https://www.amazon.com/gp/video/detail/B00AYQNOU8
33,For Sama,2019,https://www.amazon.com/gp/video/detail/B083Q3XPZC
34,Sweet Smell of Success,1957,https://www.amazon.com/gp/video/detail/B086RC6XN3
35,The Last Waltz,1978,https://www.amazon.com/gp/video/detail/B07JR4R8N5
36,The Square,2013,https://www.amazon.com/gp/video/detail/B07BJLKGCT
37,The Look of Silence,2014,https://www.amazon.com/gp/video/detail/B084GCXYWG
38,Fiddler on the Roof,1971,https://www.amazon.com/gp/video/detail/B001EYK16Y
39,My Man Godfrey,1936,https://www.amazon.com/gp/video/detail/B001L4I952
40,Sholay,1975,https://www.amazon.com/gp/video/detail/B07WWDDRLW
41,Fitzcarraldo,1982,https://www.amazon.com/gp/video/detail/B07CHTNZTS
42,Paradise Lost 3: Purgatory,2011,https://www.amazon.com/gp/video/detail/B00B4HGD68
43,Long Strange Trip,2017,https://www.amazon.com/gp/video/detail/B07JK216VV
44,Mahanati,2018,https://www.amazon.com/gp/video/detail/B07DXP6JJJ
45,K.G.F: Chapter 1,2018,https://www.amazon.com/gp/video/detail/B07N76ZBHX
46,The Snowman,1982,https://www.amazon.com/gp/video/detail/B00R62KU0A
47,Gleason,2016,https://www.amazon.com/gp/video/detail/B01LR3YCY8
48,Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,https://www.amazon.com/gp/video/detail/B07JYBX7MD
49,Shoeshine,1946,https://www.amazon.com/gp/video/detail/B07DD2F6K2
50,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,https://www.amazon.com/gp/video/detail/B00KG2RM2G
51,Pyaasa,1957,https://www.amazon.com/gp/video/detail/B07HMHXMHH
52,Kannathil Muthamittal,2002,https://www.amazon.com/gp/video/detail/B00W7EWADW
53,Life According to Sam,2013,https://www.amazon.com/gp/video/detail/B00JDBN04K
54,Emmet Otter's Jug-Band Christmas,1977,https://www.amazon.com/gp/video/detail/B07WNKFC1H
55,Andy Irons: Kissed by God,2018,https://www.amazon.com/gp/video/detail/B07H5Q9RPK
56,Ugly,2013,https://www.amazon.com/gp/video/detail/B07MBP5S63
57,Alive Inside,2014,https://www.amazon.com/gp/video/detail/B079Y284F5
58,The Mountain II,2016,https://www.amazon.com/gp/video/detail/B074T5RJKL
59,Dilwale Dulhania Le Jayenge,1995,https://www.amazon.com/gp/video/detail/B00ZEXXV7W
60,Blood Brother,2013,https://www.amazon.com/gp/video/detail/B07H9ZVVMJ
61,Cries from Syria,2017,https://www.amazon.com/gp/video/detail/B087792MYY
62,Why We Fight,2005,https://www.amazon.com/gp/video/detail/B088PVB7ZX
63,Sign 'o' The Times,1987,https://www.amazon.com/gp/video/detail/B076CS3FHP
64,Bones Brigade: An Autobiography,2012,https://www.amazon.com/gp/video/detail/B01M18Q8BB
65,I Am Kalam,2010,https://www.amazon.com/gp/video/detail/B07L8HL4YZ
66,Mr. Calzaghe,2015,https://www.amazon.com/gp/video/detail/B07MMT2QDL
67,Wait for Your Laugh,2017,https://www.amazon.com/gp/video/detail/B07CSJ9TVF
68,My Sassy Girl,2001,https://www.amazon.com/gp/video/detail/B00DUYH60U
69,Home,2009,https://www.amazon.com/gp/video/detail/B06XCB77MJ
70,Andaz Apna Apna,1994,https://www.amazon.com/gp/video/detail/B07L7BGYM9
71,Love on a Leash,2011,https://www.amazon.com/gp/video/detail/B00ZJERCSA
72,The English Surgeon,2009,https://www.amazon.com/gp/video/detail/B004BUB3E2
73,Anand,1971,https://www.amazon.com/gp/video/detail/B07LDDZ163
74,The Sopranos,1999,https://www.amazon.com/gp/video/detail/B01IUQPIAM
75,Louis C.K.: Shameless,2007,https://www.amazon.com/gp/video/detail/B00KGJRAZ8
76,Mike Birbiglia: My Girlfriend's Boyfriend,2013,https://www.amazon.com/gp/video/detail/B07N16KGGF
77,Gol Maal,1979,https://www.amazon.com/gp/video/detail/B07QHD6W5N
78,Chupke Chupke,1975,https://www.amazon.com/gp/video/detail/B07P15XJJV
79,Empire of Dreams: The Story of the Star Wars Trilogy,2004,https://www.amazon.com/gp/video/detail/B07HGKW79P
80,Theeran Adhigaaram Ondru,2017,https://www.amazon.com/gp/video/detail/B078HWK2TH
81,Valley Uprising,2014,https://www.amazon.com/gp/video/detail/B01M7UF9RQ
